,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,147,1,False,JUMP,False,7936,10364,scale,rbf
1,147,1,False,SCORE_DIST,False,7936,10364,scale,rbf
2,147,25,True,PERCENTILES,False,7936,10364,scale,rbf
3,3202,3,True,JUMP,False,7936,147,scale,rbf
4,3202,1,False,SCORE_DIST,False,7936,147,scale,rbf
5,3202,25,True,PERCENTILES,False,7936,147,scale,rbf
6,20204,1,False,JUMP,False,7936,10364,scale,rbf
7,20204,1,False,SCORE_DIST,False,7936,10364,scale,rbf
8,20204,25,True,PERCENTILES,False,7936,10364,scale,rbf
9,3096,1,False,JUMP,False,7936,44692,scale,rbf
10,3096,1,False,SCORE_DIST,False,7936,44692,scale,rbf
11,3096,25,True,PERCENTILES,False,7936,44692,scale,rbf
12,10364,7,True,JUMP,False,7936,3202,scale,rbf
13,10364,3,True,SCORE_DIST,False,7936,3202,scale,rbf
14,10364,25,True,PERCENTILES,False,7936,3202,scale,rbf
15,33515,1,False,JUMP,False,7936,3112,scale,rbf
16,33515,1,False,SCORE_DIST,False,7936,3112,scale,rbf
17,33515,25,False,PERCENTILES,False,7936,3112,scale,rbf
18,3112,1,True,JUMP,True,7936,3112,scale,rbf
19,3112,1,True,SCORE_DIST,True,7936,3112,scale,rbf
20,3112,25,True,PERCENTILES,True,7936,3112,scale,rbf
21,1948,1,False,JUMP,False,7936,10364,scale,rbf
22,1948,1,False,SCORE_DIST,False,7936,10364,scale,rbf
23,1948,25,False,PERCENTILES,False,7936,10364,scale,rbf
24,7066,3,False,JUMP,False,7936,3112,scale,rbf
25,7066,1,False,SCORE_DIST,False,7936,3112,scale,rbf
26,7066,25,True,PERCENTILES,False,7936,3112,scale,rbf
27,6751,1,False,JUMP,False,7936,3112,scale,rbf
28,6751,1,False,SCORE_DIST,False,7936,3112,scale,rbf
29,6751,25,True,PERCENTILES,False,7936,3112,scale,rbf
30,15882,1,False,JUMP,False,7936,13449,scale,rbf
31,15882,2,False,SCORE_DIST,False,7936,13449,scale,rbf
32,15882,25,True,PERCENTILES,False,7936,13449,scale,rbf
33,17012,1,False,JUMP,False,7936,3112,scale,rbf
34,17012,1,False,SCORE_DIST,False,7936,3112,scale,rbf
35,17012,25,False,PERCENTILES,False,7936,3112,scale,rbf
36,3510,5,False,JUMP,False,7936,10364,scale,rbf
37,3510,1,False,SCORE_DIST,False,7936,10364,scale,rbf
38,3510,25,True,PERCENTILES,False,7936,10364,scale,rbf
39,98,1,False,JUMP,False,7936,3112,scale,rbf
40,98,1,False,SCORE_DIST,False,7936,3112,scale,rbf
41,98,25,True,PERCENTILES,False,7936,3112,scale,rbf
42,18654,1,False,JUMP,False,7936,147,scale,rbf
43,18654,1,False,SCORE_DIST,False,7936,147,scale,rbf
44,18654,25,True,PERCENTILES,False,7936,147,scale,rbf
45,458,2,False,JUMP,False,7936,44692,scale,rbf
46,458,1,False,SCORE_DIST,False,7936,44692,scale,rbf
47,458,25,False,PERCENTILES,False,7936,44692,scale,rbf
48,710,1,False,JUMP,False,7936,10364,scale,rbf
49,710,1,False,SCORE_DIST,False,7936,10364,scale,rbf
50,710,25,True,PERCENTILES,False,7936,10364,scale,rbf
51,26776,1,False,JUMP,False,7936,10364,scale,rbf
52,26776,1,False,SCORE_DIST,False,7936,10364,scale,rbf
53,26776,25,True,PERCENTILES,False,7936,10364,scale,rbf
54,29958,1,False,JUMP,False,7936,3112,scale,rbf
55,29958,1,False,SCORE_DIST,False,7936,3112,scale,rbf
56,29958,25,False,PERCENTILES,False,7936,3112,scale,rbf
57,3254,6,False,JUMP,False,7936,10364,scale,rbf
58,3254,2,False,SCORE_DIST,False,7936,10364,scale,rbf
59,3254,25,False,PERCENTILES,False,7936,10364,scale,rbf
60,49281,1,False,JUMP,False,7936,3112,scale,rbf
61,49281,1,False,SCORE_DIST,False,7936,3112,scale,rbf
62,49281,25,True,PERCENTILES,False,7936,3112,scale,rbf
63,19975,1,False,JUMP,False,7936,3112,scale,rbf
