,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,13449,1,False,JUMP,False,7936,98,scale,rbf
1,13449,1,False,SCORE_DIST,False,7936,98,scale,rbf
2,13449,25,True,PERCENTILES,False,7936,98,scale,rbf
3,833,1,False,JUMP,False,7936,3112,scale,rbf
4,833,2,False,SCORE_DIST,False,7936,3112,scale,rbf
5,833,25,False,PERCENTILES,False,7936,3112,scale,rbf
6,447,1,False,JUMP,False,7936,3112,scale,rbf
7,447,1,False,SCORE_DIST,False,7936,3112,scale,rbf
8,447,25,False,PERCENTILES,False,7936,3112,scale,rbf
9,3082,2,False,JUMP,False,7936,3112,scale,rbf
10,3082,1,False,SCORE_DIST,False,7936,3112,scale,rbf
11,3082,25,True,PERCENTILES,False,7936,3112,scale,rbf
12,6751,4,True,JUMP,False,7936,10364,scale,rbf
13,6751,2,True,SCORE_DIST,False,7936,10364,scale,rbf
14,6751,25,True,PERCENTILES,False,7936,10364,scale,rbf
15,757,1,False,JUMP,False,7936,3112,scale,rbf
16,757,1,False,SCORE_DIST,False,7936,3112,scale,rbf
17,757,25,True,PERCENTILES,False,7936,3112,scale,rbf
18,98,1,True,JUMP,True,7936,98,scale,rbf
19,98,2,True,SCORE_DIST,True,7936,98,scale,rbf
20,98,25,True,PERCENTILES,True,7936,98,scale,rbf
21,35577,1,False,JUMP,False,7936,3202,scale,rbf
22,35577,1,False,SCORE_DIST,False,7936,3202,scale,rbf
23,35577,25,False,PERCENTILES,False,7936,3202,scale,rbf
24,27073,1,False,JUMP,False,7936,3112,scale,rbf
25,27073,1,False,SCORE_DIST,False,7936,3112,scale,rbf
26,27073,25,True,PERCENTILES,False,7936,3112,scale,rbf
27,13449,1,False,JUMP,False,7936,10364,scale,rbf
28,13449,2,True,SCORE_DIST,False,7936,10364,scale,rbf
29,13449,25,True,PERCENTILES,False,7936,10364,scale,rbf
30,14703,1,False,JUMP,False,7936,3112,scale,rbf
31,14703,1,False,SCORE_DIST,False,7936,3112,scale,rbf
32,14703,25,False,PERCENTILES,False,7936,3112,scale,rbf
33,757,1,False,JUMP,False,7936,3112,scale,rbf
34,757,1,False,SCORE_DIST,False,7936,3112,scale,rbf
35,757,25,True,PERCENTILES,False,7936,3112,scale,rbf
