,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,843,1,False,JUMP,False,7936,3112,scale,rbf
1,843,1,False,SCORE_DIST,False,7936,3112,scale,rbf
2,843,25,True,PERCENTILES,False,7936,3112,scale,rbf
3,224,1,False,JUMP,False,7936,6751,scale,rbf
4,224,1,False,SCORE_DIST,False,7936,6751,scale,rbf
5,224,25,True,PERCENTILES,False,7936,6751,scale,rbf
6,224,1,False,JUMP,False,7936,6751,scale,rbf
7,224,1,False,SCORE_DIST,False,7936,6751,scale,rbf
8,224,25,True,PERCENTILES,False,7936,6751,scale,rbf
9,1999,1,False,JUMP,False,7936,3112,scale,rbf
10,1999,1,False,SCORE_DIST,False,7936,3112,scale,rbf
11,1999,25,False,PERCENTILES,False,7936,3112,scale,rbf
12,44692,4,False,JUMP,False,7936,6751,scale,rbf
13,44692,2,False,SCORE_DIST,False,7936,6751,scale,rbf
14,44692,25,True,PERCENTILES,False,7936,6751,scale,rbf
15,257,1,False,JUMP,False,7936,4857,scale,rbf
16,257,2,False,SCORE_DIST,False,7936,4857,scale,rbf
17,257,25,False,PERCENTILES,False,7936,4857,scale,rbf
18,3096,4,False,JUMP,False,7936,3112,scale,rbf
19,3096,1,False,SCORE_DIST,False,7936,3112,scale,rbf
20,3096,25,True,PERCENTILES,False,7936,3112,scale,rbf
21,17931,1,False,JUMP,False,7936,3112,scale,rbf
22,17931,1,False,SCORE_DIST,False,7936,3112,scale,rbf
23,17931,25,True,PERCENTILES,False,7936,3112,scale,rbf
24,3002,1,False,JUMP,False,7936,4857,scale,rbf
25,3002,1,False,SCORE_DIST,False,7936,4857,scale,rbf
26,3002,25,True,PERCENTILES,False,7936,4857,scale,rbf
27,44692,1,False,JUMP,False,7936,10364,scale,rbf
28,44692,1,False,SCORE_DIST,False,7936,10364,scale,rbf
29,44692,25,True,PERCENTILES,False,7936,10364,scale,rbf
30,44692,2,False,JUMP,False,7936,3112,scale,rbf
31,44692,2,False,SCORE_DIST,False,7936,3112,scale,rbf
32,44692,25,True,PERCENTILES,False,7936,3112,scale,rbf
33,681,1,False,JUMP,False,7936,3112,scale,rbf
34,681,1,False,SCORE_DIST,False,7936,3112,scale,rbf
35,681,25,False,PERCENTILES,False,7936,3112,scale,rbf
36,147,1,True,JUMP,True,7936,147,scale,rbf
37,147,1,True,SCORE_DIST,True,7936,147,scale,rbf
38,147,25,True,PERCENTILES,True,7936,147,scale,rbf
39,6751,1,False,JUMP,False,7936,4857,scale,rbf
40,6751,1,False,SCORE_DIST,False,7936,4857,scale,rbf
41,6751,25,True,PERCENTILES,False,7936,4857,scale,rbf
42,3510,1,False,JUMP,False,7936,10364,scale,rbf
43,3510,2,False,SCORE_DIST,False,7936,10364,scale,rbf
44,3510,25,True,PERCENTILES,False,7936,10364,scale,rbf
45,6751,7,True,JUMP,False,7936,10364,scale,rbf
46,6751,1,False,SCORE_DIST,False,7936,10364,scale,rbf
47,6751,25,True,PERCENTILES,False,7936,10364,scale,rbf
48,147,2,False,JUMP,False,7936,6751,scale,rbf
49,147,1,False,SCORE_DIST,False,7936,6751,scale,rbf
50,147,25,True,PERCENTILES,False,7936,6751,scale,rbf
51,32538,1,False,JUMP,False,7936,6751,scale,rbf
52,32538,1,False,SCORE_DIST,False,7936,6751,scale,rbf
53,32538,25,False,PERCENTILES,False,7936,6751,scale,rbf
54,3112,1,True,JUMP,True,7936,3112,scale,rbf
55,3112,1,True,SCORE_DIST,True,7936,3112,scale,rbf
56,3112,25,True,PERCENTILES,True,7936,3112,scale,rbf
57,6751,1,True,JUMP,True,7936,6751,scale,rbf
58,6751,1,True,SCORE_DIST,True,7936,6751,scale,rbf
59,6751,25,True,PERCENTILES,True,7936,6751,scale,rbf
60,4857,1,True,JUMP,True,7936,4857,scale,rbf
61,4857,1,True,SCORE_DIST,True,7936,4857,scale,rbf
62,4857,25,True,PERCENTILES,True,7936,4857,scale,rbf
63,4857,1,True,JUMP,True,7936,4857,scale,rbf
64,4857,1,True,SCORE_DIST,True,7936,4857,scale,rbf
65,4857,25,True,PERCENTILES,True,7936,4857,scale,rbf
66,224,1,False,JUMP,False,7936,10364,scale,rbf
67,224,1,False,SCORE_DIST,False,7936,10364,scale,rbf
68,224,25,True,PERCENTILES,False,7936,10364,scale,rbf
69,7066,1,False,JUMP,False,7936,10364,scale,rbf
70,7066,1,False,SCORE_DIST,False,7936,10364,scale,rbf
