,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,45171,1,False,JUMP,False,7936,6751,scale,linear
1,45171,1,False,SCORE_DIST,False,7936,6751,scale,linear
2,45171,25,False,PERCENTILES,False,7936,6751,scale,linear
3,15165,1,False,JUMP,False,7936,3112,scale,linear
4,15165,1,False,SCORE_DIST,False,7936,3112,scale,linear
5,15165,25,False,PERCENTILES,False,7936,3112,scale,linear
6,34298,1,False,JUMP,False,7936,3112,scale,linear
7,34298,1,False,SCORE_DIST,False,7936,3112,scale,linear
8,34298,25,True,PERCENTILES,False,7936,3112,scale,linear
9,44027,1,False,JUMP,False,7936,3112,scale,linear
10,44027,1,False,SCORE_DIST,False,7936,3112,scale,linear
11,44027,25,False,PERCENTILES,False,7936,3112,scale,linear
12,10364,1,True,JUMP,True,7936,10364,scale,linear
13,10364,1,True,SCORE_DIST,True,7936,10364,scale,linear
14,10364,25,True,PERCENTILES,True,7936,10364,scale,linear
15,37450,1,False,JUMP,False,7936,282,scale,linear
16,37450,1,False,SCORE_DIST,False,7936,282,scale,linear
17,37450,25,True,PERCENTILES,False,7936,282,scale,linear
18,10364,1,True,JUMP,True,7936,10364,scale,linear
19,10364,1,True,SCORE_DIST,True,7936,10364,scale,linear
20,10364,25,True,PERCENTILES,True,7936,10364,scale,linear
21,79,1,False,JUMP,False,7936,147,scale,linear
22,79,1,False,SCORE_DIST,False,7936,147,scale,linear
23,79,25,False,PERCENTILES,False,7936,147,scale,linear
24,6751,1,True,JUMP,True,7936,6751,scale,linear
25,6751,1,True,SCORE_DIST,True,7936,6751,scale,linear
26,6751,25,True,PERCENTILES,True,7936,6751,scale,linear
27,9029,1,False,JUMP,False,7936,13449,scale,linear
28,9029,1,False,SCORE_DIST,False,7936,13449,scale,linear
29,9029,25,False,PERCENTILES,False,7936,13449,scale,linear
30,3510,1,True,JUMP,True,7936,3510,scale,linear
31,3510,2,True,SCORE_DIST,True,7936,3510,scale,linear
32,3510,25,True,PERCENTILES,True,7936,3510,scale,linear
33,3510,3,True,JUMP,False,7936,10364,scale,linear
34,3510,2,False,SCORE_DIST,False,7936,10364,scale,linear
35,3510,25,True,PERCENTILES,False,7936,10364,scale,linear
36,44692,1,True,JUMP,True,7936,44692,scale,linear
37,44692,1,True,SCORE_DIST,True,7936,44692,scale,linear
38,44692,25,True,PERCENTILES,True,7936,44692,scale,linear
39,9824,1,False,JUMP,False,7936,10293,scale,linear
