,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,137,2,False,JUMP,False,7936,10364,scale,linear
1,137,1,False,SCORE_DIST,False,7936,10364,scale,linear
2,137,25,False,PERCENTILES,False,7936,10364,scale,linear
3,20204,1,False,JUMP,False,7936,4857,scale,linear
4,20204,1,False,SCORE_DIST,False,7936,4857,scale,linear
5,20204,25,True,PERCENTILES,False,7936,4857,scale,linear
6,843,1,False,JUMP,False,7936,3112,scale,linear
7,843,1,False,SCORE_DIST,False,7936,3112,scale,linear
8,843,25,True,PERCENTILES,False,7936,3112,scale,linear
9,447,2,False,JUMP,False,7936,3202,scale,linear
10,447,2,False,SCORE_DIST,False,7936,3202,scale,linear
11,447,25,False,PERCENTILES,False,7936,3202,scale,linear
12,3202,1,False,JUMP,False,7936,4857,scale,linear
13,3202,1,False,SCORE_DIST,False,7936,4857,scale,linear
14,3202,25,True,PERCENTILES,False,7936,4857,scale,linear
15,3510,2,False,JUMP,False,7936,10364,scale,linear
16,3510,1,False,SCORE_DIST,False,7936,10364,scale,linear
17,3510,25,True,PERCENTILES,False,7936,10364,scale,linear
18,35271,1,False,JUMP,False,7936,6751,scale,linear
19,35271,1,False,SCORE_DIST,False,7936,6751,scale,linear
20,35271,25,False,PERCENTILES,False,7936,6751,scale,linear
21,4857,1,True,JUMP,True,7936,4857,scale,linear
22,4857,1,True,SCORE_DIST,True,7936,4857,scale,linear
23,4857,25,True,PERCENTILES,True,7936,4857,scale,linear
24,31706,1,False,JUMP,False,7936,3202,scale,linear
25,31706,2,False,SCORE_DIST,False,7936,3202,scale,linear
26,31706,25,False,PERCENTILES,False,7936,3202,scale,linear
27,4857,1,True,JUMP,True,7936,4857,scale,linear
28,4857,1,True,SCORE_DIST,True,7936,4857,scale,linear
29,4857,25,True,PERCENTILES,True,7936,4857,scale,linear
30,757,1,False,JUMP,False,7936,13449,scale,linear
31,757,1,False,SCORE_DIST,False,7936,13449,scale,linear
32,757,25,False,PERCENTILES,False,7936,13449,scale,linear
33,447,1,False,JUMP,False,7936,4857,scale,linear
34,447,1,False,SCORE_DIST,False,7936,4857,scale,linear
35,447,25,True,PERCENTILES,False,7936,4857,scale,linear
36,51255,4,False,JUMP,False,7936,3112,scale,linear
37,51255,2,False,SCORE_DIST,False,7936,3112,scale,linear
38,51255,25,False,PERCENTILES,False,7936,3112,scale,linear
39,10293,2,False,JUMP,False,7936,3510,scale,linear
40,10293,2,False,SCORE_DIST,False,7936,3510,scale,linear
41,10293,25,True,PERCENTILES,False,7936,3510,scale,linear
42,10364,1,False,JUMP,False,7936,3112,scale,linear
43,10364,2,False,SCORE_DIST,False,7936,3112,scale,linear
44,10364,25,True,PERCENTILES,False,7936,3112,scale,linear
45,352,1,False,JUMP,False,7936,3112,scale,linear
46,352,1,False,SCORE_DIST,False,7936,3112,scale,linear
47,352,25,False,PERCENTILES,False,7936,3112,scale,linear
48,10364,10,True,JUMP,False,7936,98,scale,linear
49,10364,2,True,SCORE_DIST,False,7936,98,scale,linear
50,10364,25,True,PERCENTILES,False,7936,98,scale,linear
51,147,3,True,JUMP,True,7936,147,scale,linear
52,147,2,True,SCORE_DIST,True,7936,147,scale,linear
53,147,25,True,PERCENTILES,True,7936,147,scale,linear
54,18048,1,False,JUMP,False,7936,3112,scale,linear
55,18048,1,False,SCORE_DIST,False,7936,3112,scale,linear
56,18048,25,False,PERCENTILES,False,7936,3112,scale,linear
