,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,3510,1,True,JUMP,True,7936,3510,scale,linear
1,3510,1,True,SCORE_DIST,True,7936,3510,scale,linear
2,3510,25,True,PERCENTILES,True,7936,3510,scale,linear
3,3510,1,False,JUMP,False,7936,10364,scale,linear
4,3510,1,False,SCORE_DIST,False,7936,10364,scale,linear
5,3510,25,True,PERCENTILES,False,7936,10364,scale,linear
6,44692,1,True,JUMP,True,7936,44692,scale,linear
7,44692,1,True,SCORE_DIST,True,7936,44692,scale,linear
8,44692,25,True,PERCENTILES,True,7936,44692,scale,linear
9,6421,1,False,JUMP,False,7936,10364,scale,linear
10,6421,1,False,SCORE_DIST,False,7936,10364,scale,linear
11,6421,25,False,PERCENTILES,False,7936,10364,scale,linear
12,27073,1,False,JUMP,False,7936,3510,scale,linear
13,27073,1,False,SCORE_DIST,False,7936,3510,scale,linear
14,27073,25,True,PERCENTILES,False,7936,3510,scale,linear
15,41428,2,False,JUMP,False,7936,6751,scale,linear
16,41428,2,False,SCORE_DIST,False,7936,6751,scale,linear
17,41428,25,False,PERCENTILES,False,7936,6751,scale,linear
18,93,1,False,JUMP,False,7936,3510,scale,linear
19,93,1,False,SCORE_DIST,False,7936,3510,scale,linear
20,93,25,False,PERCENTILES,False,7936,3510,scale,linear
21,371,1,False,JUMP,False,7936,3112,scale,linear
22,371,1,False,SCORE_DIST,False,7936,3112,scale,linear
23,371,25,True,PERCENTILES,False,7936,3112,scale,linear
24,883,1,False,JUMP,False,7936,3112,scale,linear
25,883,1,False,SCORE_DIST,False,7936,3112,scale,linear
26,883,25,False,PERCENTILES,False,7936,3112,scale,linear
27,10618,1,False,JUMP,False,7936,3202,scale,linear
28,10618,1,False,SCORE_DIST,False,7936,3202,scale,linear
29,10618,25,False,PERCENTILES,False,7936,3202,scale,linear
30,6751,1,False,JUMP,False,7936,3112,scale,linear
31,6751,1,False,SCORE_DIST,False,7936,3112,scale,linear
32,6751,25,True,PERCENTILES,False,7936,3112,scale,linear
33,4857,1,False,JUMP,False,7936,6751,scale,linear
34,4857,2,False,SCORE_DIST,False,7936,6751,scale,linear
35,4857,25,True,PERCENTILES,False,7936,6751,scale,linear
36,14515,4,False,JUMP,False,7936,10364,scale,linear
37,14515,2,False,SCORE_DIST,False,7936,10364,scale,linear
38,14515,25,False,PERCENTILES,False,7936,10364,scale,linear
39,15965,1,False,JUMP,False,7936,48354,scale,linear
