,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,10364,1,True,JUMP,True,7936,10364,scale,linear
1,10364,1,True,SCORE_DIST,True,7936,10364,scale,linear
2,10364,25,True,PERCENTILES,True,7936,10364,scale,linear
3,10364,1,True,JUMP,True,7936,10364,scale,linear
4,10364,1,True,SCORE_DIST,True,7936,10364,scale,linear
5,10364,25,True,PERCENTILES,True,7936,10364,scale,linear
6,98,1,True,JUMP,True,7936,98,scale,linear
7,98,1,True,SCORE_DIST,True,7936,98,scale,linear
8,98,25,True,PERCENTILES,True,7936,98,scale,linear
9,224,1,False,JUMP,False,7936,10364,scale,linear
10,224,1,False,SCORE_DIST,False,7936,10364,scale,linear
11,224,25,True,PERCENTILES,False,7936,10364,scale,linear
12,3066,1,False,JUMP,False,7936,98,scale,linear
13,3066,1,False,SCORE_DIST,False,7936,98,scale,linear
14,3066,25,True,PERCENTILES,False,7936,98,scale,linear
15,26776,1,False,JUMP,False,7936,3082,scale,linear
16,26776,1,False,SCORE_DIST,False,7936,3082,scale,linear
17,26776,25,True,PERCENTILES,False,7936,3082,scale,linear
18,843,1,False,JUMP,False,7936,10364,scale,linear
19,843,1,False,SCORE_DIST,False,7936,10364,scale,linear
20,843,25,True,PERCENTILES,False,7936,10364,scale,linear
21,17012,1,False,JUMP,False,7936,147,scale,linear
22,17012,2,False,SCORE_DIST,False,7936,147,scale,linear
23,17012,25,False,PERCENTILES,False,7936,147,scale,linear
24,30016,1,False,JUMP,False,7936,98,scale,linear
25,30016,1,False,SCORE_DIST,False,7936,98,scale,linear
26,30016,25,False,PERCENTILES,False,7936,98,scale,linear
27,20204,1,False,JUMP,False,7936,3510,scale,linear
28,20204,1,False,SCORE_DIST,False,7936,3510,scale,linear
29,20204,25,True,PERCENTILES,False,7936,3510,scale,linear
30,3202,1,False,JUMP,False,7936,6751,scale,linear
31,3202,1,False,SCORE_DIST,False,7936,6751,scale,linear
32,3202,25,True,PERCENTILES,False,7936,6751,scale,linear
33,3510,3,False,JUMP,False,7936,98,scale,linear
34,3510,1,False,SCORE_DIST,False,7936,98,scale,linear
35,3510,25,True,PERCENTILES,False,7936,98,scale,linear
36,3096,1,False,JUMP,False,7936,3202,scale,linear
37,3096,1,False,SCORE_DIST,False,7936,3202,scale,linear
38,3096,25,True,PERCENTILES,False,7936,3202,scale,linear
39,3202,1,False,JUMP,False,7936,4857,scale,linear
40,3202,1,False,SCORE_DIST,False,7936,4857,scale,linear
41,3202,25,True,PERCENTILES,False,7936,4857,scale,linear
42,10364,1,True,JUMP,True,7936,10364,scale,linear
43,10364,1,True,SCORE_DIST,True,7936,10364,scale,linear
44,10364,25,True,PERCENTILES,True,7936,10364,scale,linear
45,4857,1,False,JUMP,False,7936,3202,scale,linear
46,4857,1,False,SCORE_DIST,False,7936,3202,scale,linear
47,4857,25,False,PERCENTILES,False,7936,3202,scale,linear
48,85,1,False,JUMP,False,7936,6751,scale,linear
49,85,1,False,SCORE_DIST,False,7936,6751,scale,linear
50,85,25,False,PERCENTILES,False,7936,6751,scale,linear
51,38304,1,False,JUMP,False,7936,3112,scale,linear
52,38304,1,False,SCORE_DIST,False,7936,3112,scale,linear
53,38304,25,False,PERCENTILES,False,7936,3112,scale,linear
54,6751,1,False,JUMP,False,7936,3112,scale,linear
55,6751,1,False,SCORE_DIST,False,7936,3112,scale,linear
56,6751,25,True,PERCENTILES,False,7936,3112,scale,linear
57,49281,1,False,JUMP,False,7936,3510,scale,linear
58,49281,1,False,SCORE_DIST,False,7936,3510,scale,linear
59,49281,25,True,PERCENTILES,False,7936,3510,scale,linear
60,2390,1,False,JUMP,False,7936,3202,scale,linear
61,2390,1,False,SCORE_DIST,False,7936,3202,scale,linear
62,2390,25,False,PERCENTILES,False,7936,3202,scale,linear
63,3096,4,False,JUMP,False,7936,147,scale,linear
64,3096,1,False,SCORE_DIST,False,7936,147,scale,linear
65,3096,25,True,PERCENTILES,False,7936,147,scale,linear
66,34298,1,False,JUMP,False,7936,44692,scale,linear
67,34298,1,False,SCORE_DIST,False,7936,44692,scale,linear
68,34298,25,True,PERCENTILES,False,7936,44692,scale,linear
69,29870,4,False,JUMP,False,7936,98,scale,linear
70,29870,2,False,SCORE_DIST,False,7936,98,scale,linear
71,29870,25,False,PERCENTILES,False,7936,98,scale,linear
72,10293,1,False,JUMP,False,7936,3202,scale,linear
73,10293,1,False,SCORE_DIST,False,7936,3202,scale,linear
74,10293,25,False,PERCENTILES,False,7936,3202,scale,linear
75,7577,1,False,JUMP,False,7936,6751,scale,linear
76,7577,1,False,SCORE_DIST,False,7936,6751,scale,linear
77,7577,25,False,PERCENTILES,False,7936,6751,scale,linear
78,6702,1,False,JUMP,False,7936,3112,scale,linear
79,6702,1,False,SCORE_DIST,False,7936,3112,scale,linear
80,6702,25,False,PERCENTILES,False,7936,3112,scale,linear
81,4857,1,False,JUMP,False,7936,6751,scale,linear
