,Actual Class,Class Size,Correct Class,Equiv Class,Largest Possible Class Size,Predicted Class,gamma,kernel
0,10364,1,False,JUMP,251,3510,scale,linear
1,10364,1,False,SCORE_DIST,251,3510,scale,linear
2,10364,25,True,PERCENTILES,251,3510,scale,linear
3,401,1,False,JUMP,251,3112,scale,linear
4,401,1,False,SCORE_DIST,251,3112,scale,linear
5,401,25,True,PERCENTILES,251,3112,scale,linear
6,3202,2,True,JUMP,251,3202,scale,linear
7,3202,1,True,SCORE_DIST,251,3202,scale,linear
8,3202,25,True,PERCENTILES,251,3202,scale,linear
9,10293,1,False,JUMP,251,3510,scale,linear
10,10293,1,False,SCORE_DIST,251,3510,scale,linear
11,10293,25,True,PERCENTILES,251,3510,scale,linear
12,20204,1,False,JUMP,251,10364,scale,linear
13,20204,1,False,SCORE_DIST,251,10364,scale,linear
14,20204,25,True,PERCENTILES,251,10364,scale,linear
15,2390,1,False,JUMP,251,44692,scale,linear
16,2390,1,False,SCORE_DIST,251,44692,scale,linear
17,2390,25,True,PERCENTILES,251,44692,scale,linear
18,3245,1,False,JUMP,251,3082,scale,linear
19,3245,1,False,SCORE_DIST,251,3082,scale,linear
20,3245,25,True,PERCENTILES,251,3082,scale,linear
21,2162,1,False,JUMP,251,3202,scale,linear
22,2162,1,False,SCORE_DIST,251,3202,scale,linear
23,2162,25,False,PERCENTILES,251,3202,scale,linear
24,3096,1,False,JUMP,251,98,scale,linear
25,3096,1,False,SCORE_DIST,251,98,scale,linear
26,3096,25,True,PERCENTILES,251,98,scale,linear
27,3510,1,False,JUMP,251,3202,scale,linear
28,3510,1,False,SCORE_DIST,251,3202,scale,linear
29,3510,25,True,PERCENTILES,251,3202,scale,linear
30,20669,3,False,JUMP,251,3082,scale,linear
31,20669,1,False,SCORE_DIST,251,3082,scale,linear
32,20669,25,False,PERCENTILES,251,3082,scale,linear
33,29870,1,False,JUMP,251,3202,scale,linear
34,29870,1,False,SCORE_DIST,251,3202,scale,linear
35,29870,25,True,PERCENTILES,251,3202,scale,linear
36,3112,1,False,JUMP,251,13449,scale,linear
37,3112,1,False,SCORE_DIST,251,13449,scale,linear
38,3112,25,True,PERCENTILES,251,13449,scale,linear
39,221,1,False,JUMP,251,13449,scale,linear
40,221,1,False,SCORE_DIST,251,13449,scale,linear
41,221,25,True,PERCENTILES,251,13449,scale,linear
42,857,1,False,JUMP,251,10364,scale,linear
43,857,1,False,SCORE_DIST,251,10364,scale,linear
44,857,25,True,PERCENTILES,251,10364,scale,linear
45,833,1,False,JUMP,251,3112,scale,linear
46,833,1,False,SCORE_DIST,251,3112,scale,linear
47,833,25,False,PERCENTILES,251,3112,scale,linear
48,10618,1,False,JUMP,251,6751,scale,linear
49,10618,1,False,SCORE_DIST,251,6751,scale,linear
50,10618,25,False,PERCENTILES,251,6751,scale,linear
51,10364,1,True,JUMP,251,10364,scale,linear
52,10364,1,True,SCORE_DIST,251,10364,scale,linear
53,10364,25,True,PERCENTILES,251,10364,scale,linear
54,843,1,False,JUMP,251,6751,scale,linear
55,843,1,False,SCORE_DIST,251,6751,scale,linear
56,843,25,True,PERCENTILES,251,6751,scale,linear
57,2974,1,False,JUMP,251,3202,scale,linear
58,2974,1,False,SCORE_DIST,251,3202,scale,linear
59,2974,25,False,PERCENTILES,251,3202,scale,linear
60,7445,1,False,JUMP,251,6751,scale,linear
61,7445,1,False,SCORE_DIST,251,6751,scale,linear
62,7445,25,False,PERCENTILES,251,6751,scale,linear
63,20204,3,False,JUMP,251,147,scale,linear
64,20204,2,False,SCORE_DIST,251,147,scale,linear
65,20204,25,True,PERCENTILES,251,147,scale,linear
66,13449,1,True,JUMP,251,13449,scale,linear
67,13449,1,True,SCORE_DIST,251,13449,scale,linear
