,Actual Class,Class Size,Correct Class Predicted,Equiv Class,Exact User Predicted,Largest Possible Class Size,Predicted Class,gamma,kernel
0,98,1,True,JUMP,True,18,98,auto,poly
1,98,1,True,SCORE_DIST,True,18,98,auto,poly
2,98,1,True,PERCENTILES,True,18,98,auto,poly
3,35,1,False,JUMP,False,18,98,auto,poly
4,35,1,False,SCORE_DIST,False,18,98,auto,poly
5,35,1,False,PERCENTILES,False,18,98,auto,poly
6,28,1,False,JUMP,False,18,98,auto,poly
7,28,1,False,SCORE_DIST,False,18,98,auto,poly
8,28,1,False,PERCENTILES,False,18,98,auto,poly
9,79,1,False,JUMP,False,18,98,auto,poly
10,79,1,False,SCORE_DIST,False,18,98,auto,poly
11,79,1,False,PERCENTILES,False,18,98,auto,poly
12,98,1,True,JUMP,True,18,98,auto,poly
13,98,1,True,SCORE_DIST,True,18,98,auto,poly
14,98,1,True,PERCENTILES,True,18,98,auto,poly
15,147,1,False,JUMP,False,18,98,auto,poly
16,147,1,False,SCORE_DIST,False,18,98,auto,poly
17,147,1,False,PERCENTILES,False,18,98,auto,poly
18,22,1,False,JUMP,False,18,98,auto,poly
19,22,1,False,SCORE_DIST,False,18,98,auto,poly
20,22,1,False,PERCENTILES,False,18,98,auto,poly
21,22,1,False,JUMP,False,18,98,auto,poly
22,22,1,False,SCORE_DIST,False,18,98,auto,poly
23,22,1,False,PERCENTILES,False,18,98,auto,poly
24,98,1,True,JUMP,True,18,98,auto,poly
25,98,1,True,SCORE_DIST,True,18,98,auto,poly
26,98,1,True,PERCENTILES,True,18,98,auto,poly
27,28,1,False,JUMP,False,18,98,auto,poly
28,28,1,False,SCORE_DIST,False,18,98,auto,poly
29,28,1,False,PERCENTILES,False,18,98,auto,poly
30,22,1,False,JUMP,False,18,98,auto,poly
31,22,1,False,SCORE_DIST,False,18,98,auto,poly
32,22,1,False,PERCENTILES,False,18,98,auto,poly
33,61,1,False,JUMP,False,18,98,auto,poly
34,61,1,False,SCORE_DIST,False,18,98,auto,poly
35,61,1,False,PERCENTILES,False,18,98,auto,poly
36,98,1,True,JUMP,True,18,98,auto,poly
37,98,1,True,SCORE_DIST,True,18,98,auto,poly
38,98,1,True,PERCENTILES,True,18,98,auto,poly
39,22,1,False,JUMP,False,18,98,auto,poly
40,22,1,False,SCORE_DIST,False,18,98,auto,poly
41,22,1,False,PERCENTILES,False,18,98,auto,poly
42,147,1,False,JUMP,False,18,98,auto,poly
43,147,1,False,SCORE_DIST,False,18,98,auto,poly
44,147,1,False,PERCENTILES,False,18,98,auto,poly
45,79,1,False,JUMP,False,18,98,auto,poly
46,79,1,False,SCORE_DIST,False,18,98,auto,poly
47,79,1,False,PERCENTILES,False,18,98,auto,poly
48,79,1,False,JUMP,False,18,98,auto,poly
49,79,1,False,SCORE_DIST,False,18,98,auto,poly
50,79,1,False,PERCENTILES,False,18,98,auto,poly
51,22,1,False,JUMP,False,18,98,auto,poly
52,22,1,False,SCORE_DIST,False,18,98,auto,poly
53,22,1,False,PERCENTILES,False,18,98,auto,poly
