,Actual Class,Class Size,Correct Class,Equiv Class,Largest Possible Class Size,Predicted Class,gamma,kernel
0,22,1,False,JUMP,39,147,scale,sigmoid
1,22,1,False,SCORE_DIST,39,147,scale,sigmoid
2,22,4,True,PERCENTILES,39,147,scale,sigmoid
3,28,1,False,JUMP,39,3082,scale,sigmoid
4,28,1,False,SCORE_DIST,39,3082,scale,sigmoid
5,28,4,False,PERCENTILES,39,3082,scale,sigmoid
6,282,1,False,JUMP,39,147,scale,sigmoid
7,282,1,False,SCORE_DIST,39,147,scale,sigmoid
8,282,4,False,PERCENTILES,39,147,scale,sigmoid
9,98,1,False,JUMP,39,147,scale,sigmoid
10,98,1,False,SCORE_DIST,39,147,scale,sigmoid
11,98,4,True,PERCENTILES,39,147,scale,sigmoid
12,447,1,False,JUMP,39,98,scale,sigmoid
13,447,1,False,SCORE_DIST,39,98,scale,sigmoid
14,447,4,False,PERCENTILES,39,98,scale,sigmoid
15,147,1,True,JUMP,39,147,scale,sigmoid
16,147,1,True,SCORE_DIST,39,147,scale,sigmoid
17,147,4,True,PERCENTILES,39,147,scale,sigmoid
18,3082,1,True,JUMP,39,3082,scale,sigmoid
19,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
20,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
21,147,1,False,JUMP,39,2358,scale,sigmoid
22,147,2,False,SCORE_DIST,39,2358,scale,sigmoid
23,147,4,False,PERCENTILES,39,2358,scale,sigmoid
24,28,1,False,JUMP,39,147,scale,sigmoid
25,28,1,False,SCORE_DIST,39,147,scale,sigmoid
26,28,4,False,PERCENTILES,39,147,scale,sigmoid
27,371,1,False,JUMP,39,147,scale,sigmoid
28,371,1,False,SCORE_DIST,39,147,scale,sigmoid
29,371,4,False,PERCENTILES,39,147,scale,sigmoid
30,308,1,False,JUMP,39,147,scale,sigmoid
31,308,1,False,SCORE_DIST,39,147,scale,sigmoid
32,308,4,False,PERCENTILES,39,147,scale,sigmoid
33,61,1,False,JUMP,39,147,scale,sigmoid
34,61,1,False,SCORE_DIST,39,147,scale,sigmoid
35,61,4,True,PERCENTILES,39,147,scale,sigmoid
36,147,1,False,JUMP,39,36,scale,sigmoid
37,147,1,False,SCORE_DIST,39,36,scale,sigmoid
38,147,4,True,PERCENTILES,39,36,scale,sigmoid
39,147,1,True,JUMP,39,147,scale,sigmoid
40,147,1,True,SCORE_DIST,39,147,scale,sigmoid
41,147,4,True,PERCENTILES,39,147,scale,sigmoid
42,224,1,False,JUMP,39,3082,scale,sigmoid
43,224,1,False,SCORE_DIST,39,3082,scale,sigmoid
44,224,4,True,PERCENTILES,39,3082,scale,sigmoid
45,371,1,False,JUMP,39,98,scale,sigmoid
46,371,1,False,SCORE_DIST,39,98,scale,sigmoid
47,371,4,False,PERCENTILES,39,98,scale,sigmoid
48,147,1,True,JUMP,39,147,scale,sigmoid
49,147,1,True,SCORE_DIST,39,147,scale,sigmoid
50,147,4,True,PERCENTILES,39,147,scale,sigmoid
51,601,1,False,JUMP,39,147,scale,sigmoid
52,601,1,False,SCORE_DIST,39,147,scale,sigmoid
53,601,4,False,PERCENTILES,39,147,scale,sigmoid
54,97,1,False,JUMP,39,2358,scale,sigmoid
55,97,2,False,SCORE_DIST,39,2358,scale,sigmoid
56,97,4,False,PERCENTILES,39,2358,scale,sigmoid
57,3510,1,False,JUMP,39,98,scale,sigmoid
58,3510,1,False,SCORE_DIST,39,98,scale,sigmoid
59,3510,4,False,PERCENTILES,39,98,scale,sigmoid
60,2042,1,False,JUMP,39,98,scale,sigmoid
61,2042,1,False,SCORE_DIST,39,98,scale,sigmoid
62,2042,4,False,PERCENTILES,39,98,scale,sigmoid
63,3131,1,False,JUMP,39,3082,scale,sigmoid
64,3131,1,False,SCORE_DIST,39,3082,scale,sigmoid
65,3131,4,False,PERCENTILES,39,3082,scale,sigmoid
66,28,1,False,JUMP,39,147,scale,sigmoid
67,28,1,False,SCORE_DIST,39,147,scale,sigmoid
68,28,4,False,PERCENTILES,39,147,scale,sigmoid
69,86,1,False,JUMP,39,22,scale,sigmoid
70,86,2,False,SCORE_DIST,39,22,scale,sigmoid
71,86,4,False,PERCENTILES,39,22,scale,sigmoid
72,85,3,False,JUMP,39,98,scale,sigmoid
73,85,2,False,SCORE_DIST,39,98,scale,sigmoid
74,85,4,False,PERCENTILES,39,98,scale,sigmoid
75,710,1,False,JUMP,39,3082,scale,sigmoid
76,710,1,False,SCORE_DIST,39,3082,scale,sigmoid
77,710,4,True,PERCENTILES,39,3082,scale,sigmoid
78,4857,1,True,JUMP,39,4857,scale,sigmoid
79,4857,2,True,SCORE_DIST,39,4857,scale,sigmoid
