,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
0,1e-08,True,rbf,0.05,4,0.5,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 4, 'coef0': 0.5}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
1,0.01,False,rbf,scale,3,0.25,"{'tol': 0.01, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'coef0': 0.25}",0.2225859247135843,0.022853726469659896,1,0.28108591632024216,0.0026158237422675514,
2,0.0001,True,rbf,auto,2,0.15000000000000002,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'coef0': 0.15000000000000002}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
3,0.1,True,sigmoid,scale,4,0.9,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'coef0': 0.9}",0.15057283142389524,0.006960571700284208,183,0.14979938648915375,0.002748684636186973,
4,0.1,False,sigmoid,0.01,3,0.55,"{'tol': 0.1, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'coef0': 0.55}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
5,0.0001,True,rbf,0.1,3,0.65,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3, 'coef0': 0.65}",0.1718494271685761,0.019563813464498318,58,0.8089357346829879,0.0036333560448614955,
6,1e-09,True,sigmoid,0.2,5,1.0,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 5, 'coef0': 1.0}",0.15220949263502456,0.009286875863431592,174,0.15225785175067374,0.0023575077959626677,
7,1e-05,True,rbf,0.15,0,0.7000000000000001,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 0, 'coef0': 0.7000000000000001}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
8,1e-08,True,sigmoid,0.15,4,0.8500000000000001,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 4, 'coef0': 0.8500000000000001}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
9,1e-05,False,rbf,0.2,5,0.2,"{'tol': 1e-05, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 5, 'coef0': 0.2}",0.16530278232405893,0.013761563434356517,90,0.8538702979844863,0.004646912686907823,
10,0.1,True,sigmoid,0.01,1,0.9500000000000001,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 1, 'coef0': 0.9500000000000001}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
11,1e-08,False,rbf,scale,0,0.1,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 0, 'coef0': 0.1}",0.2225859247135843,0.022853726469659896,1,0.28108591632024216,0.0026158237422675514,
