,Unnamed: 0,param_gamma,param_kernel,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore,avgTrainScore
34,34,0.45,rbf,0.36764705882352944,0.10517897022289507,1,0.3533856811840923,0.014946311771799909,0.3682828282828283,0.3533856811840923
78,78,1.0,rbf,0.36764705882352944,0.09279889754189856,1,0.4046855818792264,0.0286109005078971,0.3682828282828282,0.4046855818792264
66,66,0.85,rbf,0.36764705882352944,0.09279889754189856,1,0.4041943538090509,0.025867471170040842,0.3682828282828282,0.4041943538090509
42,42,0.5499999999999999,rbf,0.36764705882352944,0.10517897022289507,1,0.3605285383269495,0.015034818578374947,0.3682828282828283,0.3605285383269495
58,58,0.75,rbf,0.36764705882352944,0.09279889754189856,1,0.39705149666619377,0.02554436909804772,0.3682828282828282,0.39705149666619377
46,46,0.6,rbf,0.36764705882352944,0.10517897022289507,1,0.3640999668983781,0.015902287282610734,0.3682828282828283,0.3640999668983781
74,74,0.95,rbf,0.36764705882352944,0.09279889754189856,1,0.4006855818792264,0.024496291207172508,0.3682828282828282,0.4006855818792264
70,70,0.9,rbf,0.36764705882352944,0.09279889754189856,1,0.404257010450655,0.02915944633047546,0.3682828282828282,0.404257010450655
62,62,0.7999999999999999,rbf,0.36764705882352944,0.09279889754189856,1,0.39705149666619377,0.02554436909804772,0.3682828282828282,0.39705149666619377
54,54,0.7,rbf,0.36764705882352944,0.09279889754189856,1,0.3828910956636875,0.02052531976467361,0.3682828282828282,0.3828910956636875
77,77,1.0,poly,0.36764705882352944,0.053783651202068586,1,0.4267832789520972,0.03255870856395247,0.366060606060606,0.4267832789520972
50,50,0.65,rbf,0.36764705882352944,0.09279889754189856,1,0.3650197663971249,0.03109186659582135,0.3682828282828282,0.3650197663971249
26,26,0.35,rbf,0.35294117647058826,0.10310232696496988,13,0.35683179647231283,0.024228678082719543,0.3516161616161616,0.35683179647231283
15,15,0.2,sigmoid,0.35294117647058826,0.10161483198775333,13,0.33816598099021145,0.020809721662742944,0.3557575757575758,0.33816598099021145
38,38,0.5,rbf,0.35294117647058826,0.11961003475389033,13,0.3569571097555209,0.013179476259282128,0.35717171717171714,0.3569571097555209
30,30,0.4,rbf,0.35294117647058826,0.10310232696496988,13,0.3568944531139169,0.015969806868761732,0.3516161616161616,0.3568944531139169
69,69,0.9,poly,0.3382352941176471,0.07286089442724142,17,0.4080063365962075,0.012545838986818077,0.3367676767676767,0.4080063365962075
6,6,0.1,rbf,0.3382352941176471,0.1095134782360018,17,0.3680130514966662,0.014867871289239647,0.3397979797979798,0.3680130514966662
22,22,0.3,rbf,0.3382352941176471,0.12110738502168683,17,0.36423946659100587,0.014404226921859066,0.3349494949494949,0.36423946659100587
11,11,0.15,sigmoid,0.3382352941176471,0.07605295253012771,17,0.34951099446730033,0.025800715727416903,0.3375757575757576,0.34951099446730033
73,73,0.95,poly,0.3382352941176471,0.043839487537782745,17,0.4295986664775146,0.028428237593658482,0.3416161616161616,0.4295986664775146
32,32,0.45,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
0,0,0.05,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
40,40,0.5499999999999999,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
64,64,0.85,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
48,48,0.65,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
52,52,0.7,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
60,60,0.7999999999999999,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
36,36,0.5,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
44,44,0.6,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
28,28,0.4,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
56,56,0.75,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
7,7,0.1,sigmoid,0.3235294117647059,0.08080196404796912,22,0.35301976639712485,0.02186962740331154,0.3264646464646465,0.35301976639712485
8,8,0.15,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
10,10,0.15,rbf,0.3235294117647059,0.09845278190018056,22,0.3715844800680948,0.017943822888684416,0.32161616161616163,0.3715844800680948
12,12,0.2,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
68,68,0.9,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
16,16,0.25,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
76,76,1.0,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
72,72,0.95,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
4,4,0.1,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
20,20,0.3,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
3,3,0.05,sigmoid,0.3235294117647059,0.08080196404796912,22,0.36852853832694943,0.03238350193030061,0.3264646464646465,0.36852853832694943
24,24,0.35,linear,0.3235294117647059,0.08080196404796912,22,0.3573856811840923,0.02236753866895297,0.3264646464646465,0.3573856811840923
2,2,0.05,rbf,0.3235294117647059,0.11465864316671825,22,0.3717482385208304,0.021168047390217267,0.3231313131313132,0.3717482385208304
18,18,0.25,rbf,0.3235294117647059,0.09845278190018056,22,0.3713196670922589,0.01972031548744024,0.32161616161616163,0.3713196670922589
19,19,0.25,sigmoid,0.3088235294117647,0.09849271227910544,47,0.3345945524187829,0.014864884394434216,0.30979797979797985,0.3345945524187829
37,37,0.5,poly,0.3088235294117647,0.05492105601210727,47,0.3087616683217478,0.014323204546452613,0.30676767676767674,0.3087616683217478
14,14,0.2,rbf,0.3088235294117647,0.10788566654515068,47,0.36423946659100587,0.014404226921859066,0.3105050505050505,0.36423946659100587
45,45,0.6,poly,0.3088235294117647,0.05492105601210727,47,0.3087616683217478,0.014323204546452613,0.30676767676767674,0.3087616683217478
33,33,0.45,poly,0.3088235294117647,0.05492105601210727,47,0.3087616683217478,0.014323204546452613,0.30676767676767674,0.3087616683217478
49,49,0.65,poly,0.3088235294117647,0.05492105601210727,47,0.3087616683217478,0.014323204546452613,0.30676767676767674,0.3087616683217478
41,41,0.5499999999999999,poly,0.3088235294117647,0.05492105601210727,47,0.3087616683217478,0.014323204546452613,0.30676767676767674,0.3087616683217478
31,31,0.4,sigmoid,0.29411764705882354,0.08084250625455484,54,0.32288362415472643,0.03597212597737662,0.2916161616161617,0.32288362415472643
27,27,0.35,sigmoid,0.29411764705882354,0.08084250625455484,54,0.3270857804889583,0.019871145377095775,0.2916161616161617,0.3270857804889583
23,23,0.3,sigmoid,0.29411764705882354,0.08084250625455484,54,0.3270857804889583,0.019871145377095775,0.2916161616161617,0.3270857804889583
65,65,0.85,poly,0.29411764705882354,0.09325679541246053,54,0.37905480682839177,0.03261361687085485,0.2923232323232323,0.37905480682839177
39,39,0.5,sigmoid,0.2794117647058824,0.0940335891715769,58,0.3123957535347804,0.01962505647692033,0.2749494949494949,0.3123957535347804
55,55,0.7,sigmoid,0.2794117647058824,0.0940335891715769,58,0.3165595119875159,0.030599812088378225,0.2749494949494949,0.3165595119875159
1,1,0.05,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
5,5,0.1,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
9,9,0.15,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
13,13,0.2,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
17,17,0.25,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
21,21,0.3,poly,0.2794117647058824,0.046691600463123734,58,0.279684825270724,0.012894110436275122,0.2823232323232323,0.279684825270724
25,25,0.35,poly,0.2794117647058824,0.046691600463123734,58,0.29384522627323023,0.01767423477924937,0.2823232323232323,0.29384522627323023
29,29,0.4,poly,0.2794117647058824,0.046691600463123734,58,0.3049880834160873,0.02136350267763184,0.2823232323232323,0.3049880834160873
43,43,0.5499999999999999,sigmoid,0.2794117647058824,0.0940335891715769,58,0.30862216862912,0.02576460669429171,0.2749494949494949,0.30862216862912
